Scrap_time,Product_Name,Offered_Price,Price,Discount,Rating,Reviews,Delever_charge
2024-11-18 15:55:07.755710,Styles Trendy Men Belts,572,601,5%,3.9,174,0
2024-11-18 15:55:07.755710,Fashionable Unique Men Belts,228,235,3%,4.0,34574,0
2024-11-18 15:55:07.755710,Styles Trendy Men Belts,147,152,3%,4.1,6620,0
2024-11-18 15:55:07.755710,+3 MoreCasual Modern Men Belts,163,166,2%,4.0,9706,0
2024-11-18 15:55:07.755710,Casual Unique Men Belts,226,226,0,4.2,79,0
2024-11-18 15:55:07.755710,Fashionable Unique Men Belts,453,453,0,3.7,0,0
2024-11-18 15:55:07.755710,Fancy Trendy Men Belts,182,186,2%,4.1,1966,0
2024-11-18 15:55:07.755710,Fancy Trendy Men Belts,463,463,0,3.9,0,0
2024-11-18 15:55:07.755710,Fashionable Modern Men Belts,603,603,0,3.9,0,0
2024-11-18 15:55:07.755710,Fashionable Latest Men Belts,276,276,0,4.0,28,0
2024-11-18 15:55:07.755710,Casual Unique Men Belts,137,140,2%,3.9,6472,0
2024-11-18 15:55:07.755710,Casual Trendy Men Belts,135,138,2%,3.9,16,0
2024-11-18 15:55:07.755710,Casual Unique Men Belts,316,316,0,4.3,44,0
2024-11-18 15:55:07.755710,+1 MoreFashionable Latest Men Belts,110,115,4%,3.8,3960,0
2024-11-18 15:55:07.755710,Casual Trendy Men Belts,128,130,2%,4.0,3641,0
2024-11-18 15:55:07.755710,Fancy Unique Men Belts,144,144,0,3.5,0,0
2024-11-18 15:55:07.755710,01h : 19m : 53sFashionable Unique Men Belts,114,121,6%,3.8,1208,0
2024-11-18 15:55:07.755710,Casual Modern Men Belts,235,235,0,3.7,0,0
2024-11-18 15:55:07.755710,Casual Modern Men Belts,244,244,0,3.7,0,0
2024-11-18 15:55:07.755710,Fancy Trendy Men Belts,157,163,4%,4.0,2208,0
