Scrap_time,Product_Name,Offered_Price,Price,Discount,Rating,Reviews,Delever_charge
2024-11-18 17:04:36.374614,+5 MoreFancy Designer Flared Embroidered Chikankari Festive  Lehenga,490,490,0,4.1,5525,0
2024-11-18 17:04:36.374614,Aakarsha Sensational Women Lehenga,505,554,9%,4.0,1108,0
2024-11-18 17:04:36.374614,+4 MoreBanita Graceful Women Lehenga,438,438,0,3.7,5763,0
2024-11-18 17:04:36.374614,+7 MoreMyra Fabulous Women Lehenga,552,575,4%,3.8,2452,0
2024-11-18 17:04:36.374614,+11 MoreFancy Designer Flared Embroidered Bollywood Haldi  Lehenga,281,281,0,3.9,11566,0
2024-11-18 17:04:36.374614,Kashvi Alluring Women Lehenga,754,754,0,3.9,1578,0
2024-11-18 17:04:36.374614,+3 MoreCharvi Sensational Women Lehenga,462,462,0,3.9,3364,0
2024-11-18 17:04:36.374614,+3 MoreAagam Refined Women Lehenga,551,578,5%,3.8,1008,0
2024-11-18 17:04:36.374614,+8 MoreAakarsha Sensational Women Lehenga,279,289,3%,3.7,1454,0
2024-11-18 17:04:36.374614,Aagam Fabulous Women Lehenga,548,548,0,4.0,1109,0
2024-11-18 17:04:36.374614,+5 MoreFancy Designer Flared Embroidered Indo Western Celebrity  Lehenga,646,646,0,3.9,23336,0
2024-11-18 17:04:36.374614,+3 MoreFancy Designer Panelled Jacquard South Indian Festive  Lehenga,515,542,5%,4.2,4789,0
2024-11-18 17:04:36.374614,+6 MoreFancy Designer Flared Embroidered Western Party  Lehenga,517,517,0,3.9,817,0
2024-11-18 17:04:36.374614,+7 More00h : 10m : 24sJivika Sensational Women Lehenga,425,471,10%,4.1,1349,0
2024-11-18 17:04:36.374614,Alisha Refined Women Lehenga,490,490,0,3.9,1398,0
2024-11-18 17:04:36.374614,+3 MoreBanita Voguish Women Lehenga,727,748,3%,4.0,1970,0
2024-11-18 17:04:36.374614,+3 MoreAlisha Graceful Women Lehenga,446,446,0,3.9,1708,0
2024-11-18 17:04:36.374614,+8 MoreAagyeyi Sensational Women Lehenga,958,100,75%,3.9,2559,0
2024-11-18 17:04:36.374614,+6 MoreFancy Designer Panelled Tassels And Latkans Indo Western Traditional  Lehenga,610,641,5%,3.9,2376,0
2024-11-18 17:04:36.374614,+4 MoreFancy Designer Flared Embroidered Indo Western Party  Lehenga,292,292,0,3.8,2272,0
