Scrap_time,Product_Name,Offered_Price,Price,Discount,Rating,Reviews,Delever_charge
2024-11-18 16:18:20.265132,Fashionable Unique Women Western Skirts,191,198,4%,3.8,207,0
2024-11-18 16:18:20.265132,Stylish Fabulous Women Western Skirts,280,294,5%,4.1,10874,0
2024-11-18 16:18:20.265132,+2 MoreElegant Trendy Women Western Skirts,278,289,4%,3.8,8444,0
2024-11-18 16:18:20.265132,Casual Glamarous Women Western Skirts,474,498,5%,3.9,2640,0
2024-11-18 16:18:20.265132,+2 MoreDesigner Unique Women Western Skirts,269,279,4%,4.2,1221,0
2024-11-18 16:18:20.265132,+10 MoreDream Beauty Fashion Women's Skirts,197,204,3%,3.8,5227,0
2024-11-18 16:18:20.265132,Fancy Fabulous Women Western Skirts,495,495,0,3.7,21518,0
2024-11-18 16:18:20.265132,Fancy Fashionista Women Western Skirts,161,188,14%,3.9,72,0
2024-11-18 16:18:20.265132,Fashionable Unique Women Western Skirts,310,310,0,3.9,4809,0
2024-11-18 16:18:20.265132,+3 MoreRaabta Fashion Women's Skirts,333,333,0,4.0,4365,0
2024-11-18 16:18:20.265132,Elegant Latest Women Western Skirts,559,559,0,3.7,627,0
2024-11-18 16:18:20.265132,+4 MoreFashionable Fashionista Women Western Skirts,205,205,0,3.9,2920,0
2024-11-18 16:18:20.265132,Fashionable Fashionista Women Western Skirts,505,505,0,4.1,2531,0
2024-11-18 16:18:20.265132,+1 More00h : 56m : 40sFashionable Latest Women Western Skirts,177,199,11%,4.0,5205,0
2024-11-18 16:18:20.265132,+6 MoreDesigner Unique Women Western Skirts,314,314,0,4.0,6879,0
2024-11-18 16:18:20.265132,Gorgeous Glamarous Women Western Skirts,185,192,4%,3.8,644,0
2024-11-18 16:18:20.265132,+5 MoreRavishing Fabulous Women Western Skirts,228,228,0,4.0,239,0
2024-11-18 16:18:20.265132,Designer Feminine Women Western Skirts,476,476,0,3.7,916,0
2024-11-18 16:18:20.265132,+1 MoreElegant Feminine Women Western Skirts,281,281,0,3.8,379,0
2024-11-18 16:18:20.265132,+1 MoreStylish Feminine Women Western Skirts,252,261,3%,4.0,10469,0
