Scrap_time,Product_Name,Offered_Price,Price,Discount,Rating,Reviews,Delever_charge
2024-11-18 16:36:55.997114,Charvi Alluring Kurtis,576,576,0,3.8,4946,0
2024-11-18 16:36:55.997114,Aagyeyi Superior Kurtis,184,203,9%,3.8,26299,0
2024-11-18 16:36:55.997114,Charvi Superior Kurtis,188,195,4%,4.0,21235,0
2024-11-18 16:36:55.997114,+5 MoreMyra Petite Kurtis,237,249,5%,3.9,12061,0
2024-11-18 16:36:55.997114,+1 MoreKashvi Petite Kurti Fabrics,237,246,4%,4.1,6622,0
2024-11-18 16:36:55.997114,+4 More00h : 38m : 05sAishani Fabulous Kurtis,239,280,15%,3.8,21127,0
2024-11-18 16:36:55.997114,+3 MoreChitrarekha Attractive Kurtis,225,233,3%,4.0,61631,0
2024-11-18 16:36:55.997114,+8 MoreAlisha Attractive Kurtis,293,293,0,3.6,2568,0
2024-11-18 16:36:55.997114,Alisha Pretty Kurtis,205,212,3%,4.1,35262,0
2024-11-18 16:36:55.997114,+3 More00h : 38m : 04sAlisha Voguish Kurtis,185,204,9%,3.9,14376,0
2024-11-18 16:36:55.997114,+8 MoreJivika Alluring Kurtis,128,131,2%,4.1,14077,0
2024-11-18 16:36:55.997114,Alisha Petite Kurtis,350,350,0,3.9,8143,0
2024-11-18 16:36:55.997114,+4 MoreAishani Voguish Kurtis,246,266,8%,3.6,64907,0
2024-11-18 16:36:55.997114,Adrika Graceful Kurtis,198,198,0,3.9,41199,0
2024-11-18 16:36:55.997114,+3 MoreKashvi Ensemble Kurtis,308,324,5%,4.0,20643,0
2024-11-18 16:36:55.997114,+3 MoreMyra Fabulous Kurti Fabrics,244,253,4%,4.1,2218,0
2024-11-18 16:36:55.997114,+5 More00h : 38m : 05sChitrarekha Petite Kurtis,232,271,14%,3.8,16291,0
2024-11-18 16:36:55.997114,+3 MoreChitrarekha Refined Kurtis,550,590,7%,4.0,18730,0
2024-11-18 16:36:55.997114,+2 MoreAlisha Ensemble Kurtis,349,362,4%,3.6,293,0
2024-11-18 16:36:55.997114,+3 MoreAagam Drishya Kurtis,478,502,5%,3.9,6820,0
2024-11-18 16:59:23.723912,Charvi Alluring Kurtis,576,576,0,3.8,4946,0
2024-11-18 16:59:23.723912,Myra Graceful Kurtis,254,267,5%,3.7,6780,0
2024-11-18 16:59:23.723912,Aagyeyi Superior Kurtis,184,203,9%,3.8,26299,0
2024-11-18 16:59:23.723912,+4 MoreAishani Voguish Kurtis,246,266,8%,3.6,64907,0
2024-11-18 16:59:23.723912,+8 MoreAlisha Attractive Kurtis,293,293,0,3.6,2568,0
2024-11-18 16:59:23.723912,+5 MoreMyra Petite Kurtis,237,249,5%,3.9,12061,0
2024-11-18 16:59:23.723912,Adrika Graceful Kurtis,198,198,0,3.9,41199,0
2024-11-18 16:59:23.723912,+2 MoreAlisha Ensemble Kurtis,349,362,4%,3.6,293,0
2024-11-18 16:59:23.723912,+3 MoreChitrarekha Attractive Kurtis,225,233,3%,4.0,61631,0
2024-11-18 16:59:23.723912,+3 MoreKashvi Ensemble Kurtis,308,324,5%,4.0,20643,0
2024-11-18 16:59:23.723912,+3 More00h : 15m : 36sAlisha Voguish Kurtis,185,204,9%,3.9,14376,0
2024-11-18 16:59:23.723912,+8 MoreJivika Alluring Kurtis,128,131,2%,4.1,14077,0
2024-11-18 16:59:23.723912,Charvi Superior Kurtis,188,195,4%,4.0,21235,0
2024-11-18 16:59:23.723912,+4 More00h : 15m : 37sAishani Fabulous Kurtis,239,280,15%,3.8,21127,0
2024-11-18 16:59:23.723912,Alisha Pretty Kurtis,205,212,3%,4.1,35262,0
2024-11-18 16:59:23.723912,+4 MoreAagyeyi Ensemble Kurtis,560,560,0,3.9,718,0
2024-11-18 16:59:23.723912,Alisha Petite Kurtis,350,350,0,3.9,8143,0
2024-11-18 16:59:23.723912,+5 More00h : 15m : 37sChitrarekha Petite Kurtis,232,271,14%,3.8,16291,0
2024-11-18 16:59:23.723912,Jivika Voguish Kurtis,360,360,0,3.6,334,0
2024-11-18 16:59:23.723912,+3 MoreChitrarekha Refined Kurtis,550,590,7%,4.0,18730,0
